Commune;Cercle;Secteur;Lieu-dit;Date attaque;Num semaine;Animaux concernés;Victimes constatées;Taille troupeau ou lot;Conclusion expertise_ DDT;Decision indemnisation;Protocole;Num AP tir
LAVAL-EN-BELLEDONNE;1;Belledonne Centre;Jas du Lièvre;13/07/2018;;Ovin;0;1;Indéterminé;Non indemnisable;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;29/08/2018;;Ovin;2;6;Loup;Oui;;
LE CHAMP-PRÈS-FROGES;HC;Belledonne Centre;Rouare;22/08/2018;;Ovin;1;0;Loup exclu;Non - loup exclu;;
LE HAUT-BRÉDA;1;Belledonne Centre;7 laux;12/08/2018;;Ovin;1;0;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;7 laux;11/08/2018;;Ovin;1;4;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;7 laux;07/08/2018;;Ovin;1;4;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;06/08/2018;;Ovin;4;4;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;Combe Madame;03/08/2018;;Ovin;1;4;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;31/07/2018;;Ovin;2;0;Loup;Oui;;
LE HAUT-BRÉDA;1;Belledonne Centre;l'Arpette;14/07/2018;;Ovin;2;4;Loup;Oui;;
LE CHAMP-PRÈS-FROGES;HC;Belledonne Centre;le Bruyant;29/06/2018;;Ovin;1;0;Charognard;Non - loup exclu;;
LE CHAMP-PRÈS-FROGES;HC;Belledonne Centre;le Mollard;11/06/2018;;Equin;1;0;Charognard;Non - loup exclu;;
LES ADRETS;1;Belledonne Centre;Champ Bouquet;12/05/2018;;Ovin;1;0;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;20/08/2018;;Ovin;5;1;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;12/08/2018;;Ovin;2;6;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;Périoule;03/08/2018;;Ovin;3;0;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;le Mollard;11/07/2018;;Ovin;1;5;Loup;Oui;;
CRÊTS EN BELLEDONNE;1;Belledonne Nord;Hameau du Prait;24/06/2018;;Ovin;2;4;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;le Mollard;08/06/2018;;Ovin;2;4;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;le Mollard;04/06/2018;;Ovin;4;4;Loup;Oui;;
PONTCHARRA;1;Belledonne Nord;le Berruet;06/05/2018;;Ovin;13;4;Loup;Oui;;
ALLEVARD;1;Belledonne Nord;le Mollard;04/05/2018;;Ovin;4;4;Loup;Oui;;
PONTCHARRA;1;Belledonne Nord;le Berruet;16/04/2018;;Ovin;5;;Aucun;Oui;;
THEYS;1;Belledonne Sud;Pont Fracy;28/10/2018;;Veau naissant;1;9;Charognard;Non - loup exclu;;
SAINT-MARTIN-D'URIAGE;1;Belledonne Sud;Chemin de la Ravinousse;30/09/2018;;Bovin;1;5;Loup;Oui;;
ALLEMOND;1;Belledonne Sud;le Gay;14/09/2018;;Ovin;2;170;Loup;Oui;;
CHAMROUSSE;1;Belledonne Sud;Casse Rousse;06/09/2018;;Ovin;1;1535;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;30/08/2018;;Ovin;1;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;26/08/2018;;Ovin;1;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;24/08/2018;;Ovin;2;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;22/08/2018;;Ovin;1;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;20/08/2018;;Ovin;1;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;13/08/2018;;Ovin;1;1300;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;10/08/2018;;Ovin;1;1299;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;05/08/2018;;Ovin;1;1320;Loup;Oui;;
REVEL;1;Belledonne Sud;la Pra;01/08/2018;;Ovin;1;1320;Canidé;Oui;;
SAINT-MURY-MONTEYMOND;1;Belledonne Sud;le Cholet;17/07/2018;;Ovin;1;12;Renard;Non - loup exclu;;
SAINTE-AGNÈS;1;Belledonne Sud;le Frenet;30/03/2018;;Ovin;1;4;Aucun;Oui;;
COLOMBE;2;Chambarans;La Montagne;08/10/2018;;Ovin;2;30;Loup;Oui;;
BRION;2;Chambarans;Montée du Petit Moulin;01/10/2018;;Ovin;1;52;Loup exclu;Non - loup exclu;;
CRAS;1;Chambarans;Cras;03/07/2018;;Veau naissant;1;2;Charognard;Non - loup exclu;;
SAINT-PIERRE-DE-BRESSIEUX;2;Chambarans;Chatelard;25/04/2018;;Equin;1;11;Renard;Non - loup exclu;;
LA BUISSE;1;Chartreuse;le Grand Ratz;13/10/2018;;Bovin;2;18;Indéterminé;Oui;;
ENTRE-DEUX-GUIERS;1;Chartreuse;Bois du Blanc;10/10/2018;;Ovin;3;3;Chien;Non - loup exclu;;
SAINT-LAURENT-DU-PONT;1;Chartreuse;le Ravier;08/09/2018;;Bovin;1;6;Indéterminé;Non indemnisable;;
SAINTE-MARIE-DU-MONT;1;Chartreuse;Col des Belles Ombres;08/09/2018;;Ovin;1;96;Indéterminé;Oui;;
SAINTE-MARIE-DU-MONT;1;Chartreuse;l'Alpe;06/09/2018;;Ovin;1;96;Loup;Oui;;
MIRIBEL-LES-ÉCHELLES;2;Chartreuse;Chemin du  Cré;04/09/2018;;Veau naissant;1;11;Loup;Oui;;
CHAPAREILLAN;1;Chartreuse;l'Alpette;03/09/2018;;Ovin;3;241;Loup;Oui;;
MIRIBEL-LES-ÉCHELLES;2;Chartreuse;le Grand Cossert;23/08/2018;;Veau naissant;1;46;Loup;Oui;;
SAINTE-MARIE-DU-MONT;1;Chartreuse;l'Alpe;18/08/2018;;Ovin;1;394;Loup;Oui;;
CHAPAREILLAN;1;Chartreuse;l'Alpette;12/08/2018;;Ovin;1;95;Loup;Oui;;
SAINTE-MARIE-DU-MONT;1;Chartreuse;l'Alpe;12/08/2018;;Ovin;1;35;Loup;Oui;;
CHAPAREILLAN;1;Chartreuse;l'Alpette;09/08/2018;;Ovin;2;95;Canidé;Oui;;
MIRIBEL-LES-ÉCHELLES;2;Chartreuse;la Montagne;02/08/2018;;Bovin;1;16;Loup;Oui;;
SAINT-PIERRE-DE-CHARTREUSE;1;Chartreuse;les Epalets;13/05/2018;;Veau naissant;1;7;Canidé;Non indemnisable;;
SAINT-JEAN-DE-VAULX;1;Connex;Font Reynier;30/11/2018;;Veau naissant;1;60;Loup;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;la Chalp;03/11/2018;;Ovin;2;410;Loup;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;les Arnauds;30/10/2018;;Ovin;13;520;Loup;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;Pontet;24/10/2018;;Veau naissant;1;41;Canidé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;la Draye de l'Eau;20/10/2018;;Bovin;2;12;Indéterminé;Non indemnisable;;
SAINT-JEAN-DE-VAULX;1;Connex;la Chalp;13/10/2018;;Ovin;1;702;Loup;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;le Thai;27/05/2018;;Ovin;1;1188;Indéterminé;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;les Arnauds;14/05/2018;;Ovin;1;310;Loup;Oui;;
SAINT-JEAN-DE-VAULX;1;Connex;les Arnauds;13/05/2018;;Ovin;2;900;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Emparis;Clot Chevaleret;25/09/2018;;Ovin;1;1500;Indéterminé;Non indemnisable;;
BESSE;1;Emparis;les Prés Nouveaux;19/09/2018;;Ovin;1;1680;Loup;Oui;;
VAUJANY;1;Grandes Rousses;les Jasses;19/11/2018;;Ovin;8;380;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Clavans;01/10/2018;;Ovin;5;1500;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;les Quirlies;20/09/2018;;Ovin;2;1500;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;les Quirlies;19/09/2018;;Ovin;1;1500;Loup;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Echine de Praouta;15/09/2018;;Ovin;5;1500;Loup;Oui;;
LE FRENEY-D'OISANS;1;Grandes Rousses;Bonnefonds les Côtes;15/09/2018;;Ovin;1;1513;Loup;Oui;;
VAUJANY;1;Grandes Rousses;la Lauze;05/09/2018;;Ovin;1;1525;Loup;Oui;;
VAUJANY;1;Grandes Rousses;Col du Sabot;29/08/2018;;Ovin;1;825;Indéterminé;Oui;;
VAUJANY;1;Grandes Rousses;Col du Sabot;05/08/2018;;Ovin;13;1524;Loup;Oui;;
BESSE;1;Grandes Rousses;la Valette;02/08/2018;;Ovin;1;2000;Indéterminé;Oui;;
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;les Quirlies;22/07/2018;;Ovin;2;1500;Loup;Oui;;
SOUSVILLE;1;Plateau Matheysin;la Sauze;24/11/2018;;Ovin;2;33;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;Pré du Boeuf;19/11/2018;;Ovin;1;100;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;le Freynet;04/11/2018;;Ovin;17;50;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;les Arnauds;29/10/2018;;Ovin;4;661;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;les Arnauds;24/10/2018;;Ovin;17;678;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;les Arnauds;22/10/2018;;Ovin;1;678;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;le Sautaret;14/10/2018;;Ovin;2;680;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;les Bertrands;21/07/2018;;Ovin;3;30;Loup;Oui;;
NANTES-EN-RATIER;1;Plateau Matheysin;le Freynet;28/06/2018;;Ovin;2;28;Indéterminé;Non indemnisable;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;23/10/2018;;Ovin;2;827;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;21/10/2018;;Ovin;6;833;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;17/10/2018;;Ovin;2;835;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;15/10/2018;;Ovin;6;845;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;12/10/2018;;Ovin;3;849;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;11/10/2018;;Ovin;25;874;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;10/10/2018;;Ovin;2;876;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;08/10/2018;;Ovin;4;880;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;03/10/2018;;Ovin;6;700;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;21/09/2018;;Ovin;1;1;Indéterminé;Non indemnisable;;
LES DEUX ALPES;1;Vénéon;la Muzelle;12/09/2018;;Ovin;1;683;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;07/09/2018;;Ovin;3;20;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Lanchatra;06/09/2018;;Ovin;3;908;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;04/09/2018;;Ovin;1;694;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;01/09/2018;;Ovin;1;503;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;31/08/2018;;Ovin;5;500;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;30/08/2018;;Ovin;2;500;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;28/08/2018;;Ovin;4;500;Loup;Oui;;
LES DEUX ALPES;1;Vénéon;la Muzelle;20/08/2018;;Ovin;6;500;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Combe du Replat;25/07/2018;;Ovin;8;908;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Puy;05/07/2018;;Ovin;1;730;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;la Mariande;23/06/2018;;Ovin;14;150;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;la Mariande;17/06/2018;;Ovin;3;125;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;la Mariande;16/06/2018;;Ovin;2;175;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Vallon de Lanchatra;09/06/2018;;Ovin;5;913;Loup;Oui;;
SAINT-CHRISTOPHE-EN-OISANS;1;Vénéon;Vallon de Lanchatra;05/06/2018;;Ovin;6;919;Loup;Oui;;
CHANTEPÉRIER;1;Valjouffrey;Cabane Verte;14/09/2018;;Ovin;2;1013;Loup;Oui;;
VILLARD-REYMOND;1;Valjouffrey;Pré Gentil;17/09/2018;;Ovin;1;1387;Loup;Non indemnisable;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Boirond;21/06/2018;;Ovin;1;43;Loup;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;les Sables;11/06/2018;;Ovin;1;44;Loup;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;les Sables;05/06/2018;;Ovin;2;70;Loup;Oui;;
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;les Sables;20/05/2018;;Ovin;3;120;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;Vallon de l'Obiou;11/08/2018;;Ovin;18;556;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;la Croix de la Pigne;19/07/2018;;Ovin;2;100;Loup;Oui;;
CHÂTEL-EN-TRIÈVES;1;Obiou - Plateau d'Ambel;les Flandrins;09/07/2018;;Ovin;9;21;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;la Croix de la Pigne;29/06/2018;;Ovin;2;104;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;la Croix de la Pigne;23/06/2018;;Ovin;4;109;Loup;Oui;;
PELLAFOL;1;Obiou - Plateau d'Ambel;la Posterle;28/05/2018;;Ovin;5;44;Loup;Oui;;
SAINT-AREY;1;Senepy;Pellenfrey;12/12/2018;;Ovin;3;52;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Tabor;les Cloutons;03/10/2018;;Ovin;1;2202;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Tabor;les Cloutons;02/10/2018;;Ovin;3;2205;Loup;Oui;;
CHOLONGE;1;Tabor;les Bergeries;30/09/2018;;Ovin;2;1017;Loup;Oui;;
CHOLONGE;1;Tabor;le Grand Serre;27/09/2018;;Ovin;5;509;Loup;Oui;;
CHOLONGE;1;Tabor;le Devay;13/09/2018;;Veau naissant;1;10;Renard;Non - loup exclu;;
VILLARD-SAINT-CHRISTOPHE;1;Tabor;l'Alpe du Grand Serre;09/09/2018;;Ovin;1;2207;Loup;Oui;;
LAVALDENS;1;Tabor;le Sappey;24/08/2018;;Ovin;2;870;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Tabor;l'Alpe du Grand Serre;24/08/2018;;Ovin;2;2200;Loup;Oui;;
LAVALDENS;1;Tabor;le Sappey;14/08/2018;;Ovin;3;869;Loup;Oui;;
LAVALDENS;1;Tabor;le Sappey;25/08/2018;;Ovin;2;871;Loup;Oui;;
LAVALDENS;1;Tabor;Village;05/07/2018;;Ovin;9;120;Loup;Oui;;
VILLARD-SAINT-CHRISTOPHE;1;Tabor;l'Alpe du Grand Serre;05/07/2018;;Ovin;2;2200;Loup;Oui;;
SAINT-HONORÉ;1;Tabor;Clos de Mouche;21/06/2018;;Ovin;2;1300;Loup;Oui;;
LAVALDENS;1;Taillefer;le Sappey;30/11/2018;;Caprin;3;107;Loup;Oui;;
ORNON;1;Taillefer;la Grenonière;11/11/2018;;Ovin;2;520;Loup;Oui;;
ORNON;1;Taillefer;la Grenonière;01/11/2018;;Ovin;2;650;Loup;Oui;;
LAVALDENS;1;Taillefer;le Pay;28/09/2018;;Ovin;1;122;Loup;Oui;;
LAVALDENS;1;Taillefer;Plan Col;14/09/2018;;Ovin;2;650;Loup;Oui;;
LA MORTE;1;Taillefer;le Brouffier;09/09/2018;;Ovin;1;1031;Loup;Oui;;
LAVALDENS;1;Taillefer;Plan Col;07/09/2018;;Ovin;6;650;Loup;Oui;;
LAVALDENS;1;Taillefer;Plan Col;02/09/2018;;Ovin;2;650;Loup;Oui;;
LAVALDENS;1;Taillefer;Plan Col;30/08/2018;;Ovin;1;650;Loup;Oui;;
OULLES;1;Taillefer;le Grand Galbert;26/08/2018;;Ovin;1;1700;Loup;Oui;;
CHANTEPÉRIER;1;Taillefer;la Chalp;25/08/2018;;Ovin;1;28;Loup;Oui;;
OULLES;1;Taillefer;le Carrelet;13/07/2018;;Ovin;2;1700;Loup;Oui;;
ORNON;1;Taillefer;la Palud;12/07/2018;;Ovin;1;150;Loup;Oui;;
OULLES;1;Taillefer;le Grand Galbert;11/07/2018;;Ovin;3;1700;Indéterminé;Oui;;
ORNON;1;Taillefer;la Palud;02/07/2018;;Ovin;1;150;Loup;Oui;;
OULLES;1;Taillefer;le Pouillard;01/07/2018;;Ovin;19;90;Indéterminé;Non indemnisable;;
OULLES;1;Taillefer;Col de Buffe;26/06/2018;;Ovin;2;1700;Loup;Oui;;
ORNON;1;Taillefer;les Balmettes;10/06/2018;;Bovin;1;14;Loup;Oui;;
ORNON;1;Taillefer;les Coins;25/05/2018;;Ovin;1;405;Loup;Oui;;
ORNON;1;Taillefer;les Clôts;14/05/2018;;Ovin;2;360;Loup;Oui;;
ORNON;1;Taillefer;les Fonds;14/05/2018;;Ovin;2;820;Loup;Oui;;
ORNON;1;Taillefer;la Grenonière;01/05/2018;;Ovin;2;395;Loup;Oui;;
ORNON;1;Taillefer;la Palud;01/05/2018;;Veau naissant;1;8;Indéterminé;Oui;;
COGNET;1;Trièves Centre Nord;le Village;28/11/2018;;Ovin;3;160;Canidé;Oui;;
SAINT-MARTIN-DE-LA-CLUZE;1;Trièves Centre Nord;Patassière;28/10/2018;;Veau naissant;1;45;Charognard;Non - loup exclu;;
LA MURE;1;Trièves Centre Nord;Limite Cognet;03/04/2018;;Equin;1;8;Aucun;Oui;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Ouest;Prés Long;15/10/2018;;Ovin;8;85;Loup;Oui;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Ouest;Prés Long;14/10/2018;;Ovin;5;90;Loup;Oui;;
MIRIBEL-LANCHÂTRE;1;Trièves Ouest;la Condamine;15/09/2018;;Veau naissant;1;13;Canidé;Non - loup exclu;;
CLELLES;1;Trièves Ouest;l'Arsenal;13/08/2018;;Ovin;5;8;Loup;Oui;;
PERCY;1;Trièves Ouest;Chabotte;16/07/2018;;Ovin;2;15;Loup;Oui;;
MENS;1;Trièves Sud;Amilières;28/10/2018;;Ovin;2;47;Chien;Non - loup exclu;;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;l'Archat;09/09/2018;;Caprin;1;674;Loup;Oui;;
LALLEY;1;Trièves Sud;Jocou;07/09/2018;;Ovin;2;992;Loup;Oui;;
LALLEY;1;Trièves Sud;Jocou;29/08/2018;;Ovin;1;1150;Loup exclu;Non - loup exclu;;
LALLEY;1;Trièves Sud Ouest;Pré Fleury;30/10/2018;;Ovin;1;315;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;l'Hermite;23/10/2018;;Ovin;11;12;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;Champs du Fau;17/10/2018;;Ovin;1;121;Loup;Oui;;
LALLEY;1;Trièves Sud Ouest;la Casse;11/10/2018;;Ovin;27;60;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;les Cros Gagnas;04/10/2018;;Ovin;1;122;Loup;Oui;;
LE MONESTIER-DU-PERCY;1;Trièves Sud Ouest;l'Etoilette;18/09/2018;;Equin;1;20;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;Clément;15/08/2018;;Ovin;1;6;Loup;Oui;;
LE MONESTIER-DU-PERCY;1;Trièves Sud Ouest;le Serre;05/08/2018;;Ovin;5;61;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;les Oches;12/05/2018;;Ovin;2;251;Loup;Oui;;
PERCY;1;Trièves Sud Ouest;Chabulière;02/05/2018;;Ovin;1;145;Loup;Oui;;
PERCY;1;Trièves Sud Ouest;Chabulière;30/04/2018;;Ovin;10;145;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;Ruthières;25/04/2018;;Ovin;4;;Loup;Oui;;
CHICHILIANNE;1;Trièves Sud Ouest;Donnière;08/03/2018;;Porçin;1;1;Indéterminé;Non indemnisable;;
ENTRAIGUES;1;Valbonnais;la Vacherie;04/10/2018;;Bovin;1;1;Canidé;Oui;;
ENTRAIGUES;1;Valbonnais;la Vacherie;26/09/2018;;Bovin;1;375;Canidé;Oui;;
VALBONNAIS;1;Valbonnais;l'Alpe;07/09/2018;;Bovin;1;117;Indéterminé;Non indemnisable;;
ENTRAIGUES;1;Valbonnais;la Vacherie;03/09/2018;;Bovin;1;377;Canidé;Oui;;
ENTRAIGUES;1;Valbonnais;le Vilard;09/08/2018;;Veau naissant;1;5;Canidé;Oui;;
CHANTEPÉRIER;1;Valbonnais;Dessous La Roche;03/07/2018;;Ovin;3;300;Loup;Oui;;
CHANTEPÉRIER;1;Valbonnais;Dessous La Roche;22/06/2018;;Ovin;3;300;Loup;Oui;;
CHANTEPÉRIER;1;Valbonnais;Dessous La Roche;14/05/2018;;Ovin;5;320;Loup;Oui;;
ENTRAIGUES;1;Valbonnais;Four de Romans;01/05/2018;;Ovin;1;342;Loup;Oui;;
SAINT-GEOIRE-EN-VALDAINE;1;Valdaine;Exploitation;01/09/2018;;Ovin;2;40;Loup;Oui;;
MONTFERRAT;1;Valdaine;le Bessay;27/08/2018;;Ovin;2;25;Loup;Oui;;
SAINT-GEOIRE-EN-VALDAINE;1;Valdaine;Cormerieu;31/05/2018;;Veau naissant;1;209;Charognard;Non - loup exclu;;
VALENCOGNE;1;Valdaine;Vachonnière;02/01/2018;;Veau naissant;1;154;Loup exclu;Non - loup exclu;;
ENTRAIGUES;1;Valjouffrey;la Vacherie;11/10/2018;;Bovin;1;24;Canidé;Oui;;
VALJOUFFREY;1;Valjouffrey;Combe Méanne;09/10/2018;;Ovin;1;600;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;26/08/2018;;Ovin;4;408;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;15/08/2018;;Ovin;2;394;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;13/08/2018;;Ovin;1;395;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;08/08/2018;;Ovin;1;395;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;06/08/2018;;Ovin;1;397;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Vallon de Valsenestre;06/08/2018;;Ovin;1;800;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;05/08/2018;;Ovin;1;398;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;03/08/2018;;Ovin;1;397;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;01/08/2018;;Ovin;3;398;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;28/07/2018;;Ovin;1;408;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Lauze Blanche;20/07/2018;;Ovin;1;530;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Prés Clot;04/07/2018;;Bovin;1;;Loup exclu;Non - loup exclu;;
VALJOUFFREY;1;Valjouffrey;le Ramu;03/07/2018;;Ovin;1;410;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Ramu;02/07/2018;;Ovin;1;403;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;Valsenestre;12/06/2018;;Ovin;3;3;Loup;Oui;;
VALJOUFFREY;1;Valjouffrey;le Pont;30/05/2018;;Ovin;9;550;Loup;Oui;;
VARCES-ALLIÈRES-ET-RISSET;1;Vercors Balcons Est;Sainte Ange;02/09/2018;;Ovin;2;2;Loup;Oui;;
CHÂTEAU-BERNARD;1;Vercors Balcons Est;Mazeterre;21/08/2018;;Ovin;5;13;Loup;Oui;;
SINARD;1;Vercors Balcons Est;les Cadorats;03/06/2018;;Bovin;7;10;Loup;Oui;;
SINARD;1;Vercors Balcons Est;la Motte;09/01/2018;;Bovin;1;4;Indéterminé;Oui;;
CHÂTEAU-BERNARD;1;Vercors Balcons Est;Mazeterre;01/01/2018;;Veau naissant;1;60;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Pré Peyret;03/10/2018;;Canin;1;1;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;08/09/2018;;Ovin;1;1500;Indéterminé;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;04/09/2018;;Ovin;1;1500;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;03/09/2018;;Ovin;1;1500;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Chau;25/08/2018;;Ovin;1;1574;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Bachassons Jas Neuf;19/08/2018;;Ovin;2;1496;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Grande Cabane;17/08/2018;;Ovin;1;60;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Grande Cabane;17/08/2018;;Ovin;1;2124;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Chau;10/08/2018;;Ovin;1;1574;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;08/08/2018;;Ovin;1;2000;Indéterminé;Non indemnisable;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Chau;30/07/2018;;Ovin;1;1678;Loup;Oui;;
CHICHILIANNE;1;Vercors Hauts Plateaux;Peyre Rouge;15/07/2018;;Ovin;2;1000;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;la Chau;12/07/2018;;Ovin;1;1679;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Grande Cabane;11/07/2018;;Ovin;1;2132;Loup;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Grande Cabane;06/07/2018;;Ovin;1;2133;Indéterminé;Oui;;
GRESSE-EN-VERCORS;1;Vercors Hauts Plateaux;Grande Cabane;21/06/2018;;Ovin;1;2124;Loup;Oui;;
